Files,labels,Frequency,Audio_length,zcr_mean,sp_cen_mean,sp_rf_mean,mfcc_mean,spec_bw_mean,rmse_mean,chroma_stft_mean,Chromagram,MelSpectrohram,Amplitude_db
Copy of PTT-20190716-WA0040.wav,1,22050.0,1.7,0.0953851067227338,1557.93660809942,2977.1108266469596,-21.310974297578582,1446.4685696245754,0.007985526695847511,0.46195914205190497,0.2767427356681891,0.04204217585493077,-45.5917854309082
Copy of PTT-20190716-WA0041.wav,1,22050.0,1.79,0.11566417626946941,1774.9669889399474,3151.1634239783652,-14.45998041864856,1608.8265260253295,0.03607858344912529,0.2999459988264319,0.26096990374072776,0.8227251899563356,-30.59562873840332
Copy of PTT-20190716-WA0042.wav,1,22050.0,2.62,0.11743039944665398,1853.4805951367862,3594.3298879977874,-15.85859554852679,1635.9675404863358,0.01824052818119526,0.3386642334382166,0.271582050968779,0.20385021836174919,-36.165130615234375
Copy of PTT-20190716-WA0046.wav,1,22050.0,2.77,0.07638695744646042,1517.937318153266,2994.2816162109375,-3.484817673694926,1569.8724484756376,0.049976956099271774,0.45111109314756287,0.2455818146406962,1.0469420544935053,-24.959177017211914
Copy of PTT-20190716-WA0043.wav,1,22050.0,1.53,0.05274822695035461,920.8733733233241,1447.5454757462687,-11.14014789738055,1352.223765510763,0.083917535841465,0.4739951519950302,0.28476481771529094,4.2168721595915795,-27.572952270507812
Copy of PTT-20190716-WA0044.wav,1,22050.0,1.34,0.05505640748496926,1293.0257962282874,2152.392157192888,-20.75313640295386,1686.604202839281,0.023525314405560493,0.2919258270233582,0.22630725660171375,0.18047179479074268,-37.95278549194336
Copy of PTT-20190716-WA0051.wav,1,22050.0,1.39,0.06612760663894982,1179.3727238735275,2152.423095703125,-11.446568987594274,1233.225026883543,0.11495374888181686,0.3328942672252499,0.25987964533049984,4.688018110231926,-22.31768226623535
Copy of PTT-20190716-WA0050.wav,1,22050.0,1.49,0.06361895498343415,1199.137915043168,2205.4969200721152,-11.544116526859533,1436.7645073820781,0.06914135813713074,0.31087621804070936,0.2615549221504924,2.0800989234423697,-28.53166961669922
Copy of PTT-20190716-WA0049.wav,1,22050.0,3.24,0.09987122420984855,2022.0194892902027,4034.322509765625,-16.341257340638208,2175.717623716824,0.016934089362621307,0.45389799097032457,0.2606097220116249,0.21405618340530416,-36.739036560058594
Copy of PTT-20190716-WA0047.wav,1,22050.0,3.24,0.10951541110271269,2100.314577414542,4178.594970703125,-25.966555730324497,2114.6564498691127,0.0057785771787166595,0.4000718511953339,0.26386948884398986,0.024278920408451043,-47.42561721801758
